Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW
27/12/2012,0.4193,0.4106,0.4193,0.4106
28/12/2012,0.4281,0.4193,0.4281,0.4193
31/12/2012,0.4237,0.4281,0.4281,0.4193
02/01/2013,0.4193,0.4237,0.4281,0.4193
03/01/2013,0.4237,0.4237,0.4237,0.4237
04/01/2013,0.4193,0.4193,0.4193,0.4149
07/01/2013,0.4237,0.4237,0.4237,0.4237
08/01/2013,0.4281,0.4281,0.4281,0.4193
09/01/2013,0.4281,0.4281,0.4281,0.4237
10/01/2013,0.4455,0.4281,0.4499,0.4281
11/01/2013,0.4455,0.4543,0.4586,0.4412
14/01/2013,0.4455,0.4455,0.4543,0.4412
15/01/2013,0.4324,0.4412,0.4499,0.4281
16/01/2013,0.4368,0.4368,0.4368,0.4281
17/01/2013,0.4324,0.4368,0.4368,0.4324
18/01/2013,0.4368,0.4368,0.4368,0.4324
21/01/2013,0.4324,0.4368,0.4368,0.4281
22/01/2013,0.4324,0.4324,0.4324,0.4281
23/01/2013,0.4368,0.4324,0.4368,0.4281
24/01/2013,0.4368,0.4324,0.4499,0.4324
25/01/2013,0.4499,0.4412,0.4543,0.4412
28/01/2013,0.4543,0.4543,0.463,0.4499
29/01/2013,0.4543,0.4586,0.4586,0.4499
30/01/2013,0.4499,0.4543,0.4543,0.4499
31/01/2013,0.4455,0.4455,0.4455,0.4412
01/02/2013,0.4412,0.4455,0.4455,0.4412
04/02/2013,0.4324,0.4368,0.4368,0.4281
05/02/2013,0.4324,0.4281,0.4324,0.4281
06/02/2013,0.4324,0.4324,0.4324,0.4324
07/02/2013,0.4281,0.4324,0.4324,0.4281
08/02/2013,0.4237,0.4281,0.4281,0.4237
13/02/2013,0.4281,0.4237,0.4281,0.4237
14/02/2013,0.4324,0.4281,0.4324,0.4281
15/02/2013,0.4324,0.4324,0.4324,0.4281
18/02/2013,0.4324,0.4324,0.4324,0.4281
19/02/2013,0.4368,0.4324,0.4368,0.4281
20/02/2013,0.4368,0.4368,0.4368,0.4324
21/02/2013,0.4281,0.4324,0.4324,0.4281
22/02/2013,0.4281,0.4281,0.4281,0.4281
25/02/2013,0.4281,0.4281,0.4324,0.4281
26/02/2013,0.4237,0.4237,0.4237,0.4237
27/02/2013,0.4237,0.4281,0.4281,0.4237
28/02/2013,0.4237,0.4237,0.4237,0.4237
01/03/2013,0.4193,0.4237,0.4237,0.4193
04/03/2013,0.4193,0.4237,0.4237,0.4149
05/03/2013,0.4193,0.4193,0.4193,0.4193
06/03/2013,0.4237,0.4193,0.4237,0.4193
07/03/2013,0.4193,0.4237,0.4237,0.4149
08/03/2013,0.4193,0.4193,0.4193,0.4193
